Id,issuercountrycode,txvariantcode,bin,amount,currencycode,shoppercountrycode,shopperinteraction,cardverificationcodesupplied,cvcresponsecode,accountcode,mail_id,ip_id,card_id,label
103901,AU,mccredit,517969.0,1000.0,AUD,AU,Ecommerce,True,0,APACAccount,email21099,ip31260,card182682,1
210427,GB,visadebit,465944.0,4815.0,GBP,GB,Ecommerce,True,1,UKAccount,email52090,ip314584,card151253,1
112529,GB,visadebit,454313.0,14495.0,GBP,GB,Ecommerce,True,1,UKAccount,email207206,ip51528,card47990,1
208878,AU,mccredit,516361.0,11000.0,AUD,AU,Ecommerce,True,0,APACAccount,email284873,ip114386,card95641,1
28936,GB,mccredit,542011.0,6090.0,GBP,GB,Ecommerce,True,1,UKAccount,email280026,ip324201,card74707,1
27642,GB,visadebit,465943.0,8500.0,GBP,GB,Ecommerce,True,1,UKAccount,email303798,ip224086,card83358,1
34900,GB,visadebit,492182.0,9430.0,GBP,GB,Ecommerce,True,1,UKAccount,email159570,ip72296,card99300,1
110337,AU,mccredit,535316.0,15800.0,AUD,AU,Ecommerce,True,0,APACAccount,email335857,ip157108,card1863,1
155626,GB,visadebit,465942.0,1595.0,GBP,GB,Ecommerce,True,1,UKAccount,email214934,ip306757,card129117,1
82074,GB,visadebit,465950.0,17895.0,GBP,GB,Ecommerce,True,1,UKAccount,email6904,ip45419,card42575,1
48970,GB,visadebit,446291.0,7095.0,GBP,GB,Ecommerce,,1,UKAccount,email41425,ip202832,card23389,1
144618,AU,mccredit,521729.0,7850.0,AUD,AU,Ecommerce,True,0,APACAccount,email99820,ip115674,card129086,1
207154,GB,visadebit,475128.0,15000.0,GBP,GB,Ecommerce,True,1,UKAccount,email178705,ip206534,card201185,1
137164,GB,visadebit,465859.0,6200.0,GBP,GB,Ecommerce,True,1,UKAccount,email242035,ip323166,card32013,1
2488,GB,visadebit,446238.0,3350.0,GBP,GB,Ecommerce,True,1,UKAccount,email198954,ip232198,card211131,1
194643,AU,mccredit,516310.0,19600.0,AUD,AU,Ecommerce,True,0,APACAccount,email150328,ip22920,card90130,1
129295,GB,visadebit,465860.0,2939.0,GBP,GB,Ecommerce,True,1,UKAccount,email6547,ip246481,card124262,1
170330,GB,visadebit,476367.0,5500.0,GBP,GB,Ecommerce,True,1,UKAccount,email221473,ip321868,card234913,1
215839,GB,visadebit,476248.0,4450.0,GBP,GB,Ecommerce,True,1,UKAccount,email282099,ip49908,card237730,1
178524,MX,mccredit,545375.0,94900.0,MXN,MX,Ecommerce,True,0,MexicoAccount,email208215,ip75402,card33130,1
185887,GB,visadebit,475130.0,3395.0,GBP,GB,Ecommerce,True,1,UKAccount,email227731,ip138142,card133087,1
65161,SE,mcdebit,554501.0,103125.0,SEK,SE,Ecommerce,True,1,SwedenAccount,email218061,ip119608,card9605,1
103207,GB,mccredit,518652.0,4895.0,GBP,GB,Ecommerce,True,1,UKAccount,email268540,ip86353,card73942,1
181937,GB,visadebit,465858.0,5070.0,GBP,GB,Ecommerce,True,1,UKAccount,email101900,ip187426,card205867,1
234021,AU,visadebit,404137.0,12850.0,AUD,AU,Ecommerce,True,0,APACAccount,email50752,ip23861,card237427,1
135289,CN,visagold,439226.0,42500.0,AUD,CN,Ecommerce,True,0,APACAccount,email70916,ip37892,card32158,1
230400,GB,mccredit,546811.0,20750.0,GBP,GB,Ecommerce,True,1,UKAccount,email274901,ip348872,card5722,1
103515,GB,visadebit,465859.0,20600.0,GBP,GB,Ecommerce,True,1,UKAccount,email342773,ip134586,card128995,1
